Station,Temp,Devation From Normal
Asansol,26.8,-7
ASHOKNAGAR,30.2,0
Baharampur,31.4,-3
Bankura,27.3,-6
Bishnupur,27.3,-6
Burdwan,29.6,-4
Coochbehar,27.6,-5
Darjeeling,16.2,-4
Diamond Harbour,29,-4
Digha,30,-2
Jalpaiguri,28.3,-3
Kalimpong,20.5,-4
Kolkata-Alipur,28.6,-4
Kolkata-Dum Dum,28.2,-5
Kolkata-Salt Lake,29,0
Krishnanagar,29,-4
Malda,28,-4
Maya Bandar,27.4,-3
Midnapore,28.7,-4
Nancowrie,30,0
Port Blair,28.2,-2
PURULIA,27.3,-5
RAMSHAI,30.7,0
RATUA,30.4,0
Siliguri,28.9,0
Sriniketan,27.4,-5
Sunderban,30,-1
